대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2022-04-03,1,9.6,2.1,270,0,43,26,11015
2022-04-04,0,10.3,2.3,250,0,53,34,10356
2022-04-05,0,10.3,2.4,200,0,44,26,10736
2022-04-06,0,11.7,2.5,270,0,49,23,11537
2022-04-07,0,10.9,3.3,200,0,37,10,11373
2022-04-08,0,12.9,2.1,200,0,43,18,13396
2022-04-09,1,17.8,3,200,0.0028,55,27,15153
2022-04-10,1,18.2,2,270,0,48,26,15429
2022-04-11,0,19.6,2.4,230,0,40,21,13688
2022-04-12,0,19.3,2.8,290,0.0028,33,19,11123
2022-04-13,0,13.1,4.4,50,0.0074,14,7,6252
2022-04-14,0,13.2,4,50,0,14,5,10249
2022-04-15,0,13.3,3,290,0,23,10,12408
2022-04-16,1,13.2,2.5,270,0,36,19,12348
2022-04-17,1,14,2.3,270,0,48,26,12412
2022-04-18,0,15.2,2.4,250,0,57,32,12133
2022-04-19,0,15.2,2.4,250,0,59,35,13056
2022-04-20,0,15.7,2.3,230,0,66,43,13008
2022-04-21,0,16.3,2.8,200,0,55,30,12982
2022-04-22,0,15,3.5,230,0,46,24,11639
